Series_Title,Gross,Role,Actor
The Lord of the Rings: The Two Towers,342551365.0,Star3,Viggo Mortensen
The Matrix,171479930.0,Star3,Laurence Fishburne
Goodfellas,46836394.0,Star3,Joe Pesci
Star Wars: Episode V - The Empire Strikes Back,290475067.0,Star3,Carrie Fisher
One Flew Over the Cuckoo's Nest,112000000.0,Star3,Michael Berryman
Hamilton,,Star3,Leslie Odom Jr.
Gisaengchung,53367844.0,Star3,Cho Yeo-jeong
Soorarai Pottru,,Star3,Paresh Rawal
Interstellar,188020017.0,Star3,Jessica Chastain
Cidade de Deus,7563397.0,Star3,Leandro Firmino
Sen to Chihiro no kamikakushi,10055859.0,Star3,Miyu Irino
Saving Private Ryan,216540909.0,Star3,Tom Sizemore
The Green Mile,136801374.0,Star3,David Morse
La vita è bella,57598247.0,Star3,Giorgio Cantarini
Se7en,100125643.0,Star3,Kevin Spacey
The Silence of the Lambs,130742922.0,Star3,Lawrence A. Bonney
Star Wars,322740140.0,Star3,Carrie Fisher
Seppuku,,Star3,Shima Iwashita
Shichinin no samurai,269061.0,Star3,Keiko Tsushima
It's a Wonderful Life,,Star3,Lionel Barrymore
Joker,335451311.0,Star3,Zazie Beetz
Whiplash,13092000.0,Star3,Melissa Benoist
The Intouchables,13182281.0,Star3,Omar Sy
The Prestige,53089891.0,Star3,Scarlett Johansson
The Departed,132384315.0,Star3,Jack Nicholson
The Pianist,32572577.0,Star3,Frank Finlay
Gladiator,187705427.0,Star3,Connie Nielsen
American History X,6719864.0,Star3,Beverly D'Angelo
The Usual Suspects,23341568.0,Star3,Chazz Palminteri
Léon,19501238.0,Star3,Natalie Portman
The Lion King,422783777.0,Star3,Jeremy Irons
Terminator 2: Judgment Day,204843350.0,Star3,Edward Furlong
Nuovo Cinema Paradiso,11990401.0,Star3,Antonella Attili
Hotaru no haka,,Star3,Akemi Yamaguchi
Back to the Future,210609762.0,Star3,Lea Thompson
Once Upon a Time in the West,5321508.0,Star3,Claudia Cardinale
Psycho,32000000.0,Star3,Vera Miles
Casablanca,1024560.0,Star3,Paul Henreid
Modern Times,163245.0,Star3,Henry Bergman
City Lights,19181.0,Star3,Florence Lee
Capharnaüm,1661096.0,Star3,Boluwatife Treasure Bankole
Ayla: The Daughter of War,,Star3,Ismail Hacioglu
Vikram Vedha,,Star3,Vijay Sethupathi
Kimi no na wa.,5017246.0,Star3,Ryô Narita
Dangal,12391761.0,Star3,Fatima Sana Shaikh
Spider-Man: Into the Spider-Verse,190241310.0,Star3,Shameik Moore
Avengers: Endgame,858373000.0,Star3,Chris Evans
Avengers: Infinity War,678815482.0,Star3,Chris Hemsworth
Coco,209726015.0,Star3,Gael García Bernal
Django Unchained,162805434.0,Star3,Leonardo DiCaprio
The Dark Knight Rises,448139099.0,Star3,Anne Hathaway
3 Idiots,6532908.0,Star3,Mona Singh
Taare Zameen Par,1223869.0,Star3,Aamir Khan
WALL·E,223808164.0,Star3,Jeff Garlin
The Lives of Others,11286112.0,Star3,Sebastian Koch
Oldeuboi,707481.0,Star3,Kang Hye-jeong
Memento,25544867.0,Star3,Joe Pantoliano
Mononoke-hime,2375308.0,Star3,Yûko Tanaka
Once Upon a Time in America,5321508.0,Star3,Elizabeth McGovern
Raiders of the Lost Ark,248159971.0,Star3,Paul Freeman
The Shining,44017374.0,Star3,Danny Lloyd
Apocalypse Now,83471511.0,Star3,Robert Duvall
Alien,78900000.0,Star3,John Hurt
Anand,,Star3,Sumita Sanyal
Tengoku to jigoku,,Star3,Tatsuya Nakadai
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,275902.0,Star3,Sterling Hayden
Witness for the Prosecution,8175000.0,Star3,Charles Laughton
Paths of Glory,,Star3,Adolphe Menjou
Rear Window,36764313.0,Star3,Wendell Corey
Sunset Blvd.,,Star3,Erich von Stroheim
The Great Dictator,288475.0,Star3,Jack Oakie
1917,159227644.0,Star3,Daniel Mays
Tumbbad,,Star3,Sohum Shah
Andhadhun,1373943.0,Star3,Radhika Apte
Drishyam,,Star3,Asha Sharath
Jagten,687185.0,Star3,Annika Wedderkopp
Jodaeiye Nader az Simin,7098492.0,Star3,Sareh Bayat
Incendies,6857096.0,Star3,Maxim Gaudette
Miracle in cell NO.7,,Star3,Deniz Baysal
Babam ve Oglum,,Star3,Hümeyra
Inglourious Basterds,120540719.0,Star3,Eli Roth
Eternal Sunshine of the Spotless Mind,34400301.0,Star3,Tom Wilkinson
Amélie,33225499.0,Star3,Rufus
Snatch,30328156.0,Star3,Benicio Del Toro
Requiem for a Dream,3635482.0,Star3,Jennifer Connelly
American Beauty,130096601.0,Star3,Thora Birch
Good Will Hunting,138433435.0,Star3,Ben Affleck
Bacheha-Ye aseman,933933.0,Star3,Bahare Seddiqi
Toy Story,191796233.0,Star3,Don Rickles
Braveheart,75600000.0,Star3,Patrick McGoohan
Reservoir Dogs,2832029.0,Star3,Michael Madsen
Full Metal Jacket,46357676.0,Star3,Vincent D'Onofrio
Idi i smotri,,Star3,Liubomiras Laucevicius
Aliens,85160248.0,Star3,Carrie Henn
Amadeus,51973029.0,Star3,Elizabeth Berridge
Scarface,45598982.0,Star3,Steven Bauer
Star Wars: Episode VI - Return of the Jedi,309125409.0,Star3,Carrie Fisher
Das Boot,11487676.0,Star3,Klaus Wennemann
Taxi Driver,28262574.0,Star3,Cybill Shepherd
The Sting,159600000.0,Star3,Robert Shaw
A Clockwork Orange,6207725.0,Star3,Michael Bates
2001: A Space Odyssey,56954992.0,Star3,William Sylvester
Per qualche dollaro in più,15000000.0,Star3,Gian Maria Volontè
Lawrence of Arabia,44824144.0,Star3,Anthony Quinn
The Apartment,18600000.0,Star3,Fred MacMurray
North by Northwest,13275000.0,Star3,James Mason
Vertigo,3200000.0,Star3,Barbara Bel Geddes
Singin' in the Rain,8819028.0,Star3,Donald O'Connor
Ikiru,55240.0,Star3,Shin'ichi Himori
Ladri di biciclette,332930.0,Star3,Lianella Carell
Double Indemnity,5720000.0,Star3,Edward G. Robinson
Citizen Kane,1585634.0,Star3,Dorothy Comingore
M - Eine Stadt sucht einen Mörder,28877.0,Star3,Inge Landgut
Metropolis,1236166.0,Star3,Gustav Fröhlich
The Kid,5450000.0,Star3,Jackie Coogan
Chhichhore,898575.0,Star3,Varun Sharma
Uri: The Surgical Strike,4186168.0,Star3,Mohit Raina
K.G.F: Chapter 1,,Star3,Ramachandra Raju
Green Book,85080171.0,Star3,Linda Cardellini
"Three Billboards Outside Ebbing, Missouri",54513740.0,Star3,Sam Rockwell
Talvar,342370.0,Star3,Neeraj Kabi
Baahubali 2: The Conclusion,20186659.0,Star3,Anushka Shetty
Klaus,,Star3,J.K. Simmons
Drishyam,739478.0,Star3,Tabu
Queen,1429534.0,Star3,Lisa Haydon
Mandariinid,144501.0,Star3,Giorgi Nakashidze
Bhaag Milkha Bhaag,1626289.0,Star3,Pawan Malhotra
Gangs of Wasseypur,,Star3,Nawazuddin Siddiqui
Udaan,7461.0,Star3,Manjot Singh
Paan Singh Tomar,39567.0,Star3,Rajesh Abhay
El secreto de sus ojos,6391436.0,Star3,Pablo Rago
Warrior,13657115.0,Star3,Joel Edgerton
Shutter Island,128012934.0,Star3,Mark Ruffalo
Up,293004164.0,Star3,Jordan Nagai
The Wolf of Wall Street,116900694.0,Star3,Margot Robbie
Chak De! India,1113541.0,Star3,Sagarika Ghatge
There Will Be Blood,40222514.0,Star3,Ciarán Hinds
Pan's Labyrinth,37634615.0,Star3,Sergi López
Toy Story 3,415004880.0,Star3,Joan Cusack
V for Vendetta,70511035.0,Star3,Rupert Graves
Rang De Basanti,2197331.0,Star3,Siddharth
Black,733094.0,Star3,Shernaz Patel
Batman Begins,206852432.0,Star3,Ken Watanabe
"Swades: We, the People",1223240.0,Star3,Kishori Ballal
Der Untergang,5509040.0,Star3,Ulrich Matthes
Hauru no ugoku shiro,4711096.0,Star3,Tatsuya Gashûin
A Beautiful Mind,170742341.0,Star3,Jennifer Connelly
Hera Pheri,,Star3,Paresh Rawal
"Lock, Stock and Two Smoking Barrels",3897569.0,Star3,Nick Moran
L.A. Confidential,64616940.0,Star3,Guy Pearce
Eskiya,,Star3,Sermin Hürmeriç
Heat,67436818.0,Star3,Val Kilmer
Casino,42438300.0,Star3,Joe Pesci
Andaz Apna Apna,,Star3,Raveena Tandon
Unforgiven,101157447.0,Star3,Morgan Freeman
Ind Jones Last Crusade,197171806.0,Star3,Alison Doody
Dom za vesanje,280015.0,Star3,Ljubica Adzovic
Tonari no Totoro,1105564.0,Star3,Chika Sakamoto
Die Hard,83008852.0,Star3,Bonnie Bedelia
Ran,4135750.0,Star3,Jinpachi Nezu
Raging Bull,23383987.0,Star3,Joe Pesci
Stalker,234723.0,Star3,Anatoliy Solonitsyn
Höstsonaten,,Star3,Lena Nyman
The Message,,Star3,Michael Ansara
Sholay,,Star3,Amitabh Bachchan
Monty Python and the Holy Grail,1229197.0,Star3,John Cleese
The Great Escape,12100000.0,Star3,Richard Attenborough
To Kill a Mockingbird,,Star3,Frank Overton
Yôjinbô,,Star3,Tatsuya Nakadai
Judgment at Nuremberg,,Star3,Richard Widmark
Some Like It Hot,25000000.0,Star3,Jack Lemmon
Smultronstället,,Star3,Ingrid Thulin
Det sjunde inseglet,,Star3,Bengt Ekerot
Du rififi chez les hommes,57226.0,Star3,Robert Manuel
Dial M for Murder,12562.0,Star3,Robert Cummings
Tôkyô monogatari,,Star3,Sô Yamamura
Rashômon,96568.0,Star3,Masayuki Mori
All About Eve,10177.0,Star3,George Sanders
The Treasure of the Sierra Madre,5014000.0,Star3,Tim Holt
To Be or Not to Be,,Star3,Robert Stack
The Gold Rush,5450000.0,Star3,Tom Murray
Sherlock Jr.,977375.0,Star3,Joe Keaton
Portrait de la jeune fille en feu,3759854.0,Star3,Luàna Bajrami
Pink,1241223.0,Star3,Kirti Kulhari
Koe no katachi,,Star3,Aoi Yûki
Contratiempo,,Star3,Jose Coronado
Ah-ga-ssi,2006788.0,Star3,Cho Jin-woong
Mommy,3492754.0,Star3,Suzanne Clément
Haider,901610.0,Star3,Shraddha Kapoor
Logan,226277068.0,Star3,Dafne Keen
Room,14677674.0,Star3,Sean Bridgers
Relatos salvajes,3107072.0,Star3,Mónica Villa
Soul,,Star3,Tina Fey
Kis Uykusu,165520.0,Star3,Demet Akbag
PK,10616104.0,Star3,Sanjay Dutt
OMG: Oh My God!,923221.0,Star3,Mithun Chakraborty
The Grand Budapest Hotel,59100318.0,Star3,Mathieu Amalric
Gone Girl,167767189.0,Star3,Neil Patrick Harris
Ôkami kodomo no Ame to Yuki,,Star3,Haru Kuroki
Hacksaw Ridge,67209615.0,Star3,Luke Bracey
Inside Out,356461711.0,Star3,Bill Hader
Barfi!,2804874.0,Star3,Ileana D'Cruz
12 Years a Slave,56671993.0,Star3,Michael Fassbender
Rush,26947624.0,Star3,Olivia Wilde
Ford v Ferrari,117624028.0,Star3,Jon Bernthal
Spotlight,45055776.0,Star3,Rachel McAdams
Song of the Sea,857524.0,Star3,Lisa Hannigan
Kahaani,1035953.0,Star3,Indraneil Sengupta
Zindagi Na Milegi Dobara,3108485.0,Star3,Abhay Deol
Prisoners,61002302.0,Star3,Viola Davis
Mad Max: Fury Road,154058340.0,Star3,Nicholas Hoult
A Wednesday,,Star3,Jimmy Sheirgill
Gran Torino,148095302.0,Star3,Christopher Carley
Harry Potter and the Deathly Hallows: Part 2,381011219.0,Star3,Rupert Grint
Okuribito,1498210.0,Star3,Tsutomu Yamazaki
Hachi: A Dog's Tale,,Star3,Cary-Hiroyuki Tagawa
Mary and Max,,Star3,Eric Bana
How to Train Your Dragon,217581231.0,Star3,Gerard Butler
Into the Wild,18354356.0,Star3,Catherine Keener
No Country for Old Men,74283625.0,Star3,Javier Bardem
Lage Raho Munna Bhai,2217561.0,Star3,Vidya Balan
Million Dollar Baby,100492203.0,Star3,Morgan Freeman
Hotel Rwanda,23530892.0,Star3,Joaquin Phoenix
Taegukgi hwinalrimyeo,1111061.0,Star3,Eun-ju Lee
Before Sunset,5820649.0,Star3,Vernon Dobtcheff
Munna Bhai M.B.B.S.,,Star3,Gracy Singh
Salinui chueok,14131.0,Star3,Roe-ha Kim
Dil Chahta Hai,300000.0,Star3,Akshaye Khanna
Kill Bill: Vol. 1,70099045.0,Star3,Daryl Hannah
Finding Nemo,380843261.0,Star3,Ellen DeGeneres
Catch Me If You Can,164615351.0,Star3,Christopher Walken
Amores perros,5383834.0,Star3,Goya Toledo
"Monsters, Inc.",289916256.0,Star3,Billy Crystal
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",,Star3,Megumi Hayashibara
Lagaan: Once Upon a Time in India,70147.0,Star3,Gracy Singh
The Sixth Sense,293506292.0,Star3,Toni Collette
La leggenda del pianista sull'oceano,259127.0,Star3,Mélanie Thierry
The Truman Show,125618201.0,Star3,Laura Linney
"Crna macka, beli macor",348660.0,Star3,Branka Katic
The Big Lebowski,17498804.0,Star3,John Goodman
Fa yeung nin wah,2734044.0,Star3,Ping Lam Siu
Trainspotting,16501785.0,Star3,Jonny Lee Miller
Fargo,24611975.0,Star3,Frances McDormand
Underground,171082.0,Star3,Mirjana Jokovic
La haine,309811.0,Star3,Saïd Taghmaoui
Dilwale Dulhania Le Jayenge,,Star3,Amrish Puri
Before Sunrise,5535405.0,Star3,Andrea Eckert
Trois couleurs: Rouge,4043686.0,Star3,Frédérique Feder
Chung Hing sam lam,600200.0,Star3,Tony Chiu-Wai Leung
Jurassic Park,402453882.0,Star3,Jeff Goldblum
In the Name of the Father,25010410.0,Star3,Alison Crosbie
Ba wang bie ji,5216888.0,Star3,Gong Li
Dà hóng denglong gaogao guà,2603061.0,Star3,Saifei He
Dead Poets Society,95860116.0,Star3,Ethan Hawke
Stand by Me,52287414.0,Star3,Corey Feldman
Platoon,138530565.0,Star3,Willem Dafoe
"Paris, Texas",2181987.0,Star3,Dean Stockwell
Kaze no tani no Naushika,495770.0,Star3,Hisako Kyôda
The Thing,13782838.0,Star3,Keith David
Pink Floyd: The Wall,22244207.0,Star3,James Laurenson
Fitzcarraldo,,Star3,José Lewgoy
Fanny och Alexander,4971340.0,Star3,Kristina Adolphson
Blade Runner,32868943.0,Star3,Sean Young
The Elephant Man,,Star3,Anne Bancroft
Life of Brian,20045115.0,Star3,Michael Palin
The Deer Hunter,48979328.0,Star3,John Cazale
Rocky,117235247.0,Star3,Burt Young
Network,,Star3,Peter Finch
Barry Lyndon,,Star3,Patrick Magee
Zerkalo,177345.0,Star3,Ignat Daniltsev
Chinatown,29000000.0,Star3,John Huston
Paper Moon,30933743.0,Star3,Madeline Kahn
Viskningar och rop,1742348.0,Star3,Kari Sylwan
Solaris,,Star3,Jüri Järvet
Le samouraï,39481.0,Star3,Nathalie Delon
Cool Hand Luke,16217773.0,Star3,Strother Martin
Persona,,Star3,Margaretha Krook
Andrei Rublev,102021.0,Star3,Nikolay Grinko
La battaglia di Algeri,55908.0,Star3,Yacef Saadi
El ángel exterminador,,Star3,Enrique Rambal
What Ever Happened to Baby Jane?,4050000.0,Star3,Victor Buono
Sanjuro,,Star3,Keiju Kobayashi
The Man Who Shot Liberty Valance,,Star3,Vera Miles
Ivanovo detstvo,,Star3,Valentin Zubkov
Jungfrukällan,1526000.0,Star3,Gunnel Lindblom
Inherit the Wind,,Star3,Gene Kelly
Les quatre cents coups,,Star3,Claire Maurier
Ben-Hur,74700000.0,Star3,Stephen Boyd
Kakushi-toride no san-akunin,,Star3,Minoru Chiaki
Le notti di Cabiria,752045.0,Star3,Franca Marzi
Kumonosu-jô,,Star3,Isuzu Yamada
The Bridge on the River Kwai,44908000.0,Star3,Jack Hawkins
On the Waterfront,9600000.0,Star3,Lee J. Cobb
Le salaire de la peur,,Star3,Peter van Eyck
Ace in the Hole,3969893.0,Star3,Robert Arthur
White Heat,,Star3,Edmond O'Brien
The Third Man,449191.0,Star3,Alida Valli
The Red Shoes,10900000.0,Star3,Marius Goring
The Shop Around the Corner,203300.0,Star3,Frank Morgan
Rebecca,4360000.0,Star3,George Sanders
Mr. Smith Goes to Washington,9600000.0,Star3,Claude Rains
Gone with the Wind,198676459.0,Star3,Clark Gable
La Grande Illusion,172885.0,Star3,Pierre Fresnay
It Happened One Night,4360000.0,Star3,Walter Connolly
La passion de Jeanne d'Arc,21877.0,Star3,André Berley
The Circus,,Star3,Al Ernest Garcia
Sunrise: A Song of Two Humans,539540.0,Star3,Margaret Livingston
The General,1033895.0,Star3,Marion Mack
Das Cabinet des Dr. Caligari,,Star3,Friedrich Feher
Badhaai ho,,Star3,Gajraj Rao
Togo,,Star3,Christopher Heyerdahl
Airlift,,Star3,Kumud Mishra
Bajrangi Bhaijaan,8178001.0,Star3,Nawazuddin Siddiqui
Baby,,Star3,Rana Daggubati
La La Land,151101803.0,Star3,Rosemarie DeWitt
Lion,51739495.0,Star3,Rooney Mara
The Martian,228433663.0,Star3,Kristen Wiig
Zootopia,341268248.0,Star3,Ginnifer Goodwin
Bãhubali: The Beginning,6738000.0,Star3,Ramya Krishnan
Kaguyahime no monogatari,1506975.0,Star3,Mary Steenburgen
Wonder,132422809.0,Star3,Izabela Vidovic
Gully Boy,5566534.0,Star3,Ranveer Singh
Special Chabbis,1079369.0,Star3,Manoj Bajpayee
Short Term 12,1010414.0,Star3,John Gallagher Jr.
Serbuan maut 2: Berandal,2625803.0,Star3,Arifin Putra
The Imitation Game,91125683.0,Star3,Matthew Goode
Guardians of the Galaxy,333176600.0,Star3,Bradley Cooper
Blade Runner 2049,92054159.0,Star3,Ana de Armas
Her,25568251.0,Star3,Scarlett Johansson
Bohemian Rhapsody,216428042.0,Star3,Gwilym Lee
The Revenant,183637894.0,Star3,Will Poulter
The Perks of Being a Wallflower,17738570.0,Star3,Ezra Miller
Tropa de Elite 2: O Inimigo Agora é Outro,100119.0,Star3,André Ramiro
The King's Speech,138797449.0,Star3,Helena Bonham Carter
The Help,169708112.0,Star3,Octavia Spencer
Deadpool,363070709.0,Star3,T.J. Miller
Darbareye Elly,106662.0,Star3,Taraneh Alidoosti
Dev.D,10950.0,Star3,Kalki Koechlin
Yip Man,,Star3,Siu-Wong Fan
My Name Is Khan,4018695.0,Star3,Sheetal Menon
Nefes: Vatan Sagolsun,,Star3,Ilker Kizmaz
Slumdog Millionaire,141319928.0,Star3,Freida Pinto
Black Swan,106954678.0,Star3,Vincent Cassel
Tropa de Elite,8060.0,Star3,Caio Junqueira
The Avengers,623279547.0,Star3,Scarlett Johansson
Persepolis,4445756.0,Star3,Catherine Deneuve
Dallas Buyers Club,27298285.0,Star3,Jared Leto
The Pursuit of Happyness,163566459.0,Star3,Jaden Smith
Blood Diamond,57366262.0,Star3,Jennifer Connelly
The Bourne Ultimatum,227471070.0,Star3,Joan Allen
Bin-jip,238507.0,Star3,Hyuk-ho Kwon
Sin City,74103820.0,Star3,Mickey Rourke
Le scaphandre et le papillon,5990075.0,Star3,Emmanuelle Seigner
G.O.R.A.,,Star3,Ozan Güven
Ratatouille,206445654.0,Star3,Lou Romano
Casino Royale,167445960.0,Star3,Judi Dench
Kill Bill: Vol. 2,66208183.0,Star3,Michael Madsen
Vozvrashchenie,502028.0,Star3,Konstantin Lavronenko
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2380788.0,Star3,Jong-ho Kim
Mar adentro,2086345.0,Star3,Lola Dueñas
Cinderella Man,61649911.0,Star3,Craig Bierko
Kal Ho Naa Ho,1787378.0,Star3,Saif Ali Khan
Mou gaan dou,169659.0,Star3,Tony Chiu-Wai Leung
Pirates of the Caribbean: The Curse of the Black Pearl,305413918.0,Star3,Orlando Bloom
Big Fish,66257002.0,Star3,Billy Crudup
The Incredibles,261441092.0,Star3,Holly Hunter
Yeopgijeogin geunyeo,,Star3,In-mun Kim
Dogville,1530386.0,Star3,Lauren Bacall
Vizontele,,Star3,Demet Akbag
Donnie Darko,1480006.0,Star3,Mary McDonnell
Magnolia,22455976.0,Star3,Julianne Moore
Dancer in the Dark,4184036.0,Star3,David Morse
The Straight Story,6203044.0,Star3,Jane Galloway Heitz
Pâfekuto burû,776665.0,Star3,Shinpachi Tsuji
Festen,1647780.0,Star3,Thomas Bo Larsen
Central do Brasil,5595428.0,Star3,Marília Pêra
The Iron Giant,23159305.0,Star3,Jennifer Aniston
Knockin' on Heaven's Door,3296.0,Star3,Thierry van Werveke
Sling Blade,24475416.0,Star3,J.T. Walsh
Secrets & Lies,13417292.0,Star3,Phyllis Logan
Twelve Monkeys,57141459.0,Star3,Brad Pitt
Kôkaku Kidôtai,515905.0,Star3,Akio Ôtsuka
The Nightmare Before Christmas,75082668.0,Star3,Catherine O'Hara
Groundhog Day,70906973.0,Star3,Chris Elliott
Bound by Honor,4496583.0,Star3,Benjamin Bratt
Scent of a Woman,63895607.0,Star3,James Rebhorn
Aladdin,217350219.0,Star3,Robin Williams
JFK,70405498.0,Star3,Jack Lemmon
Beauty and the Beast,218967620.0,Star3,Robby Benson
Dances with Wolves,184208848.0,Star3,Graham Greene
Do the Right Thing,27545445.0,Star3,Ruby Dee
Rain Man,178800000.0,Star3,Valeria Golino
Akira,553171.0,Star3,Mami Koyama
The Princess Bride,30857814.0,Star3,Robin Wright
Der Himmel über Berlin,3333969.0,Star3,Otto Sander
Au revoir les enfants,4542825.0,Star3,Francine Racette
Tenkû no shiro Rapyuta,,Star3,Kotoe Hatsui
The Terminator,38400000.0,Star3,Michael Biehn
Gandhi,52767889.0,Star3,Rohini Hattangadi
Kagemusha,,Star3,Ken'ichi Hagiwara
Being There,30177511.0,Star3,Melvyn Douglas
Annie Hall,39200000.0,Star3,Tony Roberts
Jaws,260000000.0,Star3,Richard Dreyfuss
Dog Day Afternoon,50000000.0,Star3,Penelope Allen
Young Frankenstein,86300000.0,Star3,Marty Feldman
Papillon,53267000.0,Star3,Victor Jory
The Exorcist,232906145.0,Star3,Linda Blair
Sleuth,4081254.0,Star3,Alec Cawthorne
The Last Picture Show,29133000.0,Star3,Cybill Shepherd
Fiddler on the Roof,80500000.0,Star3,Leonard Frey
Il conformista,541940.0,Star3,Gastone Moschin
Butch Cassidy and the Sundance Kid,102308889.0,Star3,Katharine Ross
Rosemary's Baby,,Star3,Ruth Gordon
Planet of the Apes,33395426.0,Star3,Kim Hunter
The Graduate,104945305.0,Star3,Katharine Ross
Who's Afraid of Virginia Woolf?,,Star3,George Segal
The Sound of Music,163214286.0,Star3,Eleanor Parker
Doctor Zhivago,111722000.0,Star3,Geraldine Chaplin
Per un pugno di dollari,14500000.0,Star3,Marianne Koch
8½,50690.0,Star3,Claudia Cardinale
Vivre sa vie: Film en douze tableaux,,Star3,André S. Labarthe
The Hustler,8284000.0,Star3,Piper Laurie
La dolce vita,19516000.0,Star3,Anouk Aimée
Rio Bravo,12535000.0,Star3,Ricky Nelson
Anatomy of a Murder,11900000.0,Star3,Ben Gazzara
Touch of Evil,2237659.0,Star3,Janet Leigh
Cat on a Hot Tin Roof,17570324.0,Star3,Burl Ives
Sweet Smell of Success,,Star3,Susan Harrison
The Killing,,Star3,Vince Edwards
The Night of the Hunter,654000.0,Star3,Lillian Gish
La Strada,,Star3,Richard Basehart
Les diaboliques,,Star3,Paul Meurisse
Stalag 17,,Star3,Otto Preminger
Roman Holiday,,Star3,Eddie Albert
A Streetcar Named Desire,8000000.0,Star3,Kim Hunter
In a Lonely Place,,Star3,Frank Lovejoy
Kind Hearts and Coronets,,Star3,Valerie Hobson
Rope,,Star3,Farley Granger
Out of the Past,,Star3,Kirk Douglas
Brief Encounter,,Star3,Stanley Holloway
Laura,4360000.0,Star3,Clifton Webb
The Best Years of Our Lives,23650000.0,Star3,Fredric March
Arsenic and Old Lace,,Star3,Raymond Massey
The Maltese Falcon,2108060.0,Star3,Gladys George
The Grapes of Wrath,55000.0,Star3,John Carradine
The Wizard of Oz,2076020.0,Star3,Norman Taurog
La règle du jeu,,Star3,Paulette Dubost
The Thin Man,,Star3,Maureen O'Sullivan
All Quiet on the Western Front,3270000.0,Star3,John Wray
Bronenosets Potemkin,50970.0,Star3,Grigoriy Aleksandrov
Knives Out,165359751.0,Star3,Ana de Armas
Dil Bechara,,Star3,Sahil Vaid
Manbiki kazoku,3313513.0,Star3,Kirin Kiki
Marriage Story,2000000.0,Star3,Julia Greer
Call Me by Your Name,18095701.0,Star3,Michael Stuhlbarg
"I, Daniel Blake",258168.0,Star3,Hayley Squires
Isle of Dogs,32015231.0,Star3,Edward Norton
Hunt for the Wilderpeople,5202582.0,Star3,Rima Te Wiata
Captain Fantastic,5875006.0,Star3,Samantha Isler
Sing Street,3237118.0,Star3,Maria Doyle Kennedy
Thor: Ragnarok,315058289.0,Star3,Cate Blanchett
Nightcrawler,32381218.0,Star3,Bill Paxton
Jojo Rabbit,349555.0,Star3,Scarlett Johansson
Arrival,100546139.0,Star3,Forest Whitaker
Star Wars: Episode VII - The Force Awakens,936662225.0,Star3,Oscar Isaac
Before Midnight,8114627.0,Star3,Seamus Davey-Fitzpatrick
X-Men: Days of Future Past,233921534.0,Star3,Hugh Jackman
Bir Zamanlar Anadolu'da,138730.0,Star3,Taner Birsel
The Artist,44671682.0,Star3,John Goodman
Edge of Tomorrow,100206256.0,Star3,Bill Paxton
Amour,6739492.0,Star3,Isabelle Huppert
The Irishman,7000000.0,Star3,Joe Pesci
Un prophète,2084637.0,Star3,Adel Bencherif
Moon,5009677.0,Star3,Dominique McElligott
Låt den rätte komma in,2122065.0,Star3,Per Ragnar
District 9,115646235.0,Star3,Jason Cope
The Wrestler,26236603.0,Star3,Evan Rachel Wood
Jab We Met,410800.0,Star3,Tarun Arora
Boyhood,25379975.0,Star3,Ethan Hawke
"4 luni, 3 saptamâni si 2 zile",1185783.0,Star3,Vlad Ivanov
Star Trek,257730019.0,Star3,Simon Pegg
In Bruges,7757130.0,Star3,Ciarán Hinds
The Man from Earth,,Star3,John Billingsley
Letters from Iwo Jima,13756082.0,Star3,Tsuyoshi Ihara
The Fall,2280348.0,Star3,Justine Waddell
Life of Pi,124987023.0,Star3,Adil Hussain
Fantastic Mr. Fox,21002919.0,Star3,Bill Murray
C.R.A.Z.Y.,,Star3,Danielle Proulx
Les choristes,3635164.0,Star3,Jean-Baptiste Maunier
Iron Man,318412101.0,Star3,Terrence Howard
Shaun of the Dead,13542874.0,Star3,Kate Ashfield
Gegen die Wand,,Star3,Güven Kiraç
Mystic River,90135191.0,Star3,Kevin Bacon
Harry Potter and the Prisoner of Azkaban,249358727.0,Star3,Rupert Grint
Ying xiong,53710019.0,Star3,Maggie Cheung
Hable con ella,9284265.0,Star3,Darío Grandinetti
No Man's Land,1059830.0,Star3,Filip Sovagovic
Cowboy Bebop: Tengoku no tobira,1000045.0,Star3,Yoshiyuki Takei
The Bourne Identity,121661683.0,Star3,Chris Cooper
Nueve reinas,1221261.0,Star3,Graciela Tenenbaum
Children of Men,35552383.0,Star3,Chiwetel Ejiofor
Almost Famous,32534850.0,Star3,Kate Hudson
Mulholland Dr.,7220243.0,Star3,Justin Theroux
Toy Story 2,245852179.0,Star3,Tom Hanks
Boogie Nights,26400640.0,Star3,Burt Reynolds
Mimi wo sumaseba,,Star3,Takashi Tachibana
Once Were Warriors,2201126.0,Star3,Mamaengaroa Kerr-Bell
True Romance,12281500.0,Star3,Dennis Hopper
Trois couleurs: Bleu,1324974.0,Star3,Julie Delpy
Jûbê ninpûchô,,Star3,Takeshi Aono
Carlito's Way,36948322.0,Star3,Penelope Ann Miller
Edward Scissorhands,56362352.0,Star3,Dianne Wiest
My Left Foot: The Story of Christy Brown,14743391.0,Star3,Alison Whelan
Crimes and Misdemeanors,18254702.0,Star3,Bill Bernstein
The Untouchables,76270454.0,Star3,Robert De Niro
Hannah and Her Sisters,40084041.0,Star3,Michael Caine
